name,roc_auc,pr_auc,best_f1,best_threshold,precision_at_best,recall_at_best,n_positive,n_total
tda_h1_l2,0.47045908804709125,0.13756470644010507,0.18404452690166975,0.00028339442544264717,0.10134859011033918,1.0,248,2451
tda_h0_total,0.7340119045875859,0.22469654273618112,0.39276485788113696,0.2845070102702244,0.2889733840304182,0.6129032258064516,248,2451
tda_anomaly,0.8032792437493415,0.538678676675568,0.6194690265486725,3.3634074546323616,0.6862745098039216,0.5645161290322581,248,2391
realized_vol,0.6988893444423294,0.1696910753441758,0.37417654808959155,0.18325788397283768,0.27788649706457924,0.5725806451612904,248,2451
avg_correlation,0.6855644063081135,0.15896363708902878,0.352317880794702,0.24304583336105706,0.26232741617357,0.5362903225806451,248,2451
top_eigenvalue,0.672169914925395,0.15606473316662153,0.3567708333333333,4.412227694045736,0.26346153846153847,0.5524193548387096,248,2451
